esr_id;name;latitude;longitude
033413;Глухоозёрская;59.90903854;30.38748932
033502;Санкт-Петербург-Товарный-Витебский;59.88674164;30.34693527
033822;Саборы;59.5773468;30.2852478
034007;Гатчина-Товарная-Балтийская;59.54415894;30.10823631
034026;Гатчина-Варшавская;59.55264282;30.13322258
034030;Татьянино;59.56524658;30.13978195
034045;Новое Мозино;59.59934616;30.16970062
034051;Старое Мозино;59.6190834;30.19300079
034100;Гатчина-Балтийская Пассажирская;59.55916595;30.10370827
034115;Мариенбург;59.57435989;30.07619095
034128;Пудость;59.60676193;30.08187103
034204;Тайцы;59.66366959;30.10269356
034219;Дудергоф;59.70233536;30.11831665
034308;Красное Село;59.73111725;30.10408783
034312;Скачки;59.75169373;30.11663437
034401;Горелово;59.77910995;30.12553787
034505;Лигово;59.82327271;30.18090439
034513;Ульянка;59.82454681;30.22051239
034524;Дачное;59.8371048;30.27136803
034702;Верево;59.64530945;30.22065926
034717;Кандакопшино;59.69550323;30.28588486
034721;Лесное;59.67681885;30.25805283
034806;Александровская;59.7309494;30.33846283
034810;Шоссейная;59.80804825;30.3327446
034825;Аэропорт;59.81433487;30.32106972
034909;Среднерогатская;59.81672287;30.35676765
035014;Предпортовая;59.83277893;30.29022598
035207;Цветочная;59.88711929;30.33425522
035315;Электродепо;59.89015961;30.29548645
035323;Броневая;59.87602997;30.29279137
035334;Ленинский проспект;59.8531723;30.28862381
035508;Автово;59.86455154;30.25034142
035705;Нарвская;59.87170792;30.28147125
035719;Корпусный пост;59.88273621;30.30496216
035809;Новый порт;59.90930176;30.2374897
036002;Санкт-Петербург - Балтийский;59.9049263;30.29868507
036106;Мельничный Ручей;60.01890564;30.6794281
036110;Романовка;60.03598785;30.71981049
036125;Корнево;60.05503845;30.74469185
036133;Проба;60.09575653;30.77985191
036144;Щеглово;60.01753998;30.74772453
036214;Ириновка;60.08431625;30.88424873
036229;Рахья;60.09129715;30.82737923
036303;Борисова Грива;60.09679794;30.96513176
036318;Ваганово;60.09255219;31.007658
036322;44 км;60.1095047;31.06570625
036337;Ладожское озеро;60.12691879;31.06487656
036407;Кирпичный завод;60.00788116;30.79610062
036411;Радченко;59.97897339;30.86759377
036426;Дунай;59.9760704;30.9327755
036430;19 км;59.97215271;30.98114204
036445;21 км;59.96913528;31.02361488
036500;Петрокрепость;59.96095657;31.02809525
036515;Сады;59.93722916;30.96958351
036529;Чёрная речка;59.92713547;30.96470833
036534;Теплобетонная;59.87711334;30.96131897
036549;37 км;59.8542366;30.93377876
036604;Невская Дубровка;59.84380341;30.92877388
036712;Всеволожская;60.01444626;30.64876938
036727;Бернгардовка;60.00733948;30.60655594
036731;Ковалёво;59.98661804;30.56258583
036746;Ковалёво пост;59.98028946;30.54914284
036801;Нева;59.88920975;30.495327
036905;Заневский Пост;59.93943405;30.5063858
037005;Ржевка;59.9808197;30.51580238
037024;Пискарёвка;59.98820496;30.42501068
037043;пост 5 км;59.89296341;30.3922348
037109;Санкт-Петербург-Ладожский;59.93041992;30.4400959
037306;Полюстрово;59.96720123;30.44504738
037405;Кушелевка;59.99046326;30.35476685
037503;Сосново;60.54753113;30.21636009
037518;69 км;60.50662613;30.23947906
037522;67 км;60.48586655;30.25207138
037541;Лемболово;60.4117012;30.33319283
037556;54 км;60.38817978;30.34740829
037560;Васкелово;60.37110901;30.3712101
037575;47 км;60.3380661;30.41459274
037607;Грузино;60.31753159;30.43087387
037611;39 км;60.27239609;30.4451046
037700;Пери;60.24716949;30.46421242
037715;Осельки;60.20898056;30.49400902
037724;Кавголово;60.17243958;30.52531624
037804;Орехово;60.46443558;30.26114082
037908;Токсово;60.1491127;30.50899506
037912;Кузьмолово;60.11190414;30.48374557
038008;Капитолово;60.09449768;30.47208786
038012;Лаврики;60.07605362;30.45983505
038027;Девяткино;60.05052567;30.44280815
038031;Мурино;60.03314209;30.43759537
038046;Депо Ручьи;60.01624298;30.43652344
038101;Ручьи;60.00405502;30.44077682
038205;Санкт-Петербург - Финляндский;59.95818329;30.3581562
038215;Ланская;59.99496078;30.32758141
038309;Парнас;60.05810165;30.35786438
038417;Озерки;60.0391655;30.30168152
038506;Шувалово;60.04656219;30.29763794
038510;Парголово;60.08118439;30.25859642
038525;Удельная;60.01753998;30.31339073
